NC(=[NH2+])NCC[NH+]1CCCCC1 ZINC000002016700
CC(C)[N@H+](C)CCNC(N)=[NH2+] ZINC000002019313
COCC[NH+](CCC[NH3+])CCOC ZINC000004226734
NC(=[NH2+])NCCC[NH+]1CCCC1 ZINC000006850638
C[NH+](C)CCNC(=O)CCC[NH3+] ZINC000011755301
C[NH+](C)CCCNC(=O)CCC[NH3+] ZINC000011755303
COCCCN1CCO[C@@H](C[NH3+])C1 ZINC000011885781
COCCCN1CCO[C@H](C[NH3+])C1 ZINC000011885784
[NH3+]CCCCNC(=O)CCC[NH3+] ZINC000013444055
CC[NH2+]CCNC(=O)[C@H](C)[NH2+]C ZINC000015894704
C[N@H+](CCO)CC(C)(C)C[NH3+] ZINC000017666121
CC(C)(C[NH3+])NC(=O)CC[NH3+] ZINC000017673634
C[NH2+]CC(=O)NC(C)(C)C[NH3+] ZINC000017673663
[NH3+]C[C@@H]1C[C@@H]2C[NH2+]C[C@@H]2O1 ZINC000018425327
[NH3+]C[C@H]1C[C@@H]2C[NH2+]C[C@@H]2O1 ZINC000018425328
NC(=O)[C@@H]1CCC[N@H+](CCCC[NH3+])C1 ZINC000019280289
NC(=O)[C@H]1CCC[N@H+](CCCC[NH3+])C1 ZINC000019280292
CC(=O)N1CC[NH+](CCCC[NH3+])CC1 ZINC000019280762
CC[NH+](CC)CCNC(=O)C[NH2+]C ZINC000019428700
CC[N@@H+]1CCC[C@@H]1CNC(=O)C[NH2+]C ZINC000019435686
CC[N@@H+]1CCC[C@H]1CNC(=O)C[NH2+]C ZINC000019435688
CC[N@@H+]1CCC[C@@H]1CNC(=O)C[NH3+] ZINC000019439520
CC[N@@H+]1CCC[C@H]1CNC(=O)C[NH3+] ZINC000019439522
C[C@H](C(=O)N1CC[NH2+]CC1)[NH+](C)C ZINC000019474178
C[C@@H](C(=O)N1CC[NH2+]CC1)[NH+](C)C ZINC000019474179
CC[NH+](CC)CCCNC(=O)C[NH3+] ZINC000019477354
CC[NH+](CC)CCNC(=O)C[NH3+] ZINC000019481935
CC(C)[N@H+](C)CC(=O)N1CC[NH2+]CC1 ZINC000019483590
CC[N@@H+]1CCC[C@@H]1CNC(=O)[C@@H](C)[NH3+] ZINC000019488464
CC[N@@H+]1CCC[C@H]1CNC(=O)[C@@H](C)[NH3+] ZINC000019488465
C[NH+](C)CC(C)(C)CNC(=O)C[NH3+] ZINC000019488643
CC[NH+](CC)CCNC(=O)[C@@H](C)[NH3+] ZINC000019489112
CC[NH+](CC)CCNC(=O)[C@H](C)[NH3+] ZINC000019489113
CNC(=O)CN1CCC[C@@H](C[NH3+])C1 ZINC000019843114
CNC(=O)CN1CCC[C@H](C[NH3+])C1 ZINC000019843116
NC(=O)C[NH+]1CCC(C[NH3+])CC1 ZINC000019843231
CCNC(=O)C[NH+]1CCC(C[NH3+])CC1 ZINC000019843235
CNC(=O)C[NH+]1CCC(C[NH3+])CC1 ZINC000019843245
C[N@@H+]1CCCN(C(=O)CCC[NH3+])CC1 ZINC000020217832
C[C@@H]([NH3+])C(=O)N1CCC[N@H+](C)CC1 ZINC000020217838
C[C@H]([NH3+])C(=O)N1CCC[N@H+](C)CC1 ZINC000020217839
C[NH2+]CC(=O)N1CCC[N@H+](C)CC1 ZINC000020217840
NC(=O)[C@@H]1CCC[N@@H+]1CCCC[NH3+] ZINC000020294520
[NH3+]CCC(=O)NCCCn1ccnc1 ZINC000020506336
[NH3+]CCCN1CCC([NH3+])CC1 ZINC000021984210
C[N@@H+]1CCCN(CCNC(N)=[NH2+])CC1 ZINC000022042835
CC(C)[N@H+](C)C[C@@H](O)C[NH3+] ZINC000022212551
CC(C)[N@H+](C)C[C@H](O)C[NH3+] ZINC000022212554
CC[N@@H+]1CCC[C@@H]1CNC(=O)CC[NH3+] ZINC000022220481
CC[N@@H+]1CCC[C@H]1CNC(=O)CC[NH3+] ZINC000022220483
[NH3+]CCN(C1CC1)C1C[NH2+]C1 ZINC000022872419
CN(CC[NH3+])CC(C)(C)C[NH3+] ZINC000022968736
CC(C)(C)[C@@H](C[NH3+])NCC[NH3+] ZINC000023161326
CC(C)(C)[C@H](C[NH3+])NCC[NH3+] ZINC000023161328
[NH3+]C[C@@H]1CC[C@@H]2[NH2+]CCO[C@@H]12 ZINC000024054166
[NH3+]C[C@@H]1CC[C@H]2[NH2+]CCO[C@H]21 ZINC000024054170
[NH3+]C[C@@H]1OC[C@@H]2CC[NH2+]C[C@@H]21 ZINC000024054857
[NH3+]C[C@H]1OC[C@@H]2CC[NH2+]C[C@@H]21 ZINC000024054859
C1[NH2+]C[C@H]2OCC[NH2+]C[C@@H]12 ZINC000024513286
[NH3+]CCN1C[C@@H]2C[NH2+]CC[C@@H]21 ZINC000024660929
[NH3+]CCN1C[C@H]2C[NH2+]CC[C@@H]21 ZINC000024660935
[NH3+]Cc1noc2c1C[NH2+]CC2 ZINC000024772322
CN(CC[NH3+])CCC[NH3+] ZINC000026384141
C[NH+](C)CCN1CC[C@@H]([NH3+])C1 ZINC000031994332
C[NH+](C)CCN1CC[C@H]([NH3+])C1 ZINC000031994335
[NH3+]CCCCCC(=O)N1CC[NH2+]CC1 ZINC000032021121
C[C@H]1C[NH2+]C[C@H]1[NH3+] ZINC000034115103
CO[C@@H]1C[NH2+]CC[C@H]1[NH3+] ZINC000034122487
C[C@H]1C[NH2+]C[C@@H]1[NH3+] ZINC000034179192
C[C@@H]([NH3+])CN1CC[NH2+]CC1 ZINC000034211741
[NH3+]C[C@@]1(O)CCC[NH2+]C1 ZINC000034321179
[NH3+]C[C@]1(O)CCC[NH2+]C1 ZINC000034321180
C[C@@H]1C[NH2+]C[C@@H]1[NH3+] ZINC000034329801
C[C@@H]1C[NH2+]C[C@H]1[NH3+] ZINC000034329802
C[C@@H]1C[NH2+]CCN1CC[NH3+] ZINC000034355628
C[C@H]1C[NH2+]CCN1CC[NH3+] ZINC000034355629
C[C@@H]([NH3+])CN1CC[NH2+]C[C@H]1C ZINC000034355636
C[C@@H]([NH3+])CN1CC[NH2+]C[C@@H]1C ZINC000034355637
C[C@@H]1C[NH2+]CCN1CCC[NH3+] ZINC000034355639
C[C@H]1C[NH2+]CCN1CCC[NH3+] ZINC000034355641
C[C@@H]([NH3+])C(=O)NCCCCCC[NH3+] ZINC000034396200
[NH3+]CCN[C@@H]1CCCC[C@H]1[NH3+] ZINC000034440715
C1C[C@H]2[NH2+]CC[C@@H]2[NH2+]1 ZINC000034468156
C1C[C@H]2[NH2+]CC[C@H]2[NH2+]1 ZINC000034468158
C1C[C@@H]2[NH2+]CC[C@@H]2[NH2+]1 ZINC000034468160
CC[NH2+]C[C@@H](C)[NH3+] ZINC000034588077
CC[NH2+]C[C@H](C)[NH3+] ZINC000034588078
CC(C)N(CC[NH3+])CC[NH3+] ZINC000034615615
C[NH2+]CCCN1CC[NH2+]CC1 ZINC000034770428
